ID,ninf,Tg,m,K,C,cost,opt,rmse,num_points,Na2O,SiO2,K2O,Li2O,Al2O3,B2O3,ZnO,BaO,MgO,P2O5,La2O3,CaO,PbO,Sb2O3,ZrO2,TiO2,CdO,Ta2O5,Y2O3,HfO2,Nb2O5,WO3,As2O3,Bi2O3,TeO2,Tl2O,Ga2O3,GeO2,SrO,FeO,MoO3,CuO,BeO,Rb2O,Cs2O,MnO,CoO,NiO,Fe2O3
538,-2.496446022104303,832.5580150976324,35.59847136059926,2815.056313414131,1211.9287929999164,1.119207117620355,1.553491531670892e-06,0.43425380136388314,13,0.15,0.72,,,0.02,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,-2.2989884903009528,774.5735230297564,31.204854776638946,3395.442405609647,915.7876040085682,0.30751672219011117,8.428366551904709e-07,0.26577918469702405,9,,0.82,0.12,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,-1.8302269870651282,785.288189708614,36.959596543343935,2039.641160398893,1313.2988175059645,0.6811729372117097,1.54239790873395e-07,0.29044421667765763,17,0.2,0.75,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,0.15572409530959047,826.1257390482352,45.381059008357624,576.580912571989,2339.1552130127134,1.3183055963716834,9.383059990184656e-08,0.22006589503687154,58,0.12,0.72,,,0.01,,,,0.06,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,-5.282051855494922,908.6528068446668,18.139535200820735,14943.244164554008,45.084614666580855,0.03432106698159032,9.925878976819319e-09,0.07922101325422352,11,0.05,0.81,0.03,,0.07,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,-5.670124888941915,878.6676973721139,18.559860180153393,14763.742391824813,44.243131529236805,0.007494169988771393,3.8210517682335694e-09,0.03873618061123642,10,0.04,0.77,0.03,,0.07,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,-6.970551242299135,779.296330314696,25.93794427261268,10239.469256194072,286.21539516874293,1.6701006402369993,2.4330958325654434e-06,0.25831814821329946,52,0.04,0.74,,,0.01,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,-0.4778674708630251,809.2883865638942,38.675216290620625,1237.2005736531046,1699.1052524079096,0.014972402748792746,1.722018882349685e-08,0.04802059928224282,13,0.14,0.72,,,0.01,,,,0.06,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,-0.8981161189329413,799.4367727569185,38.31226374795065,1437.4298868371216,1575.1915997319018,0.07352634830400184,9.227298296970998e-09,0.07689257465204201,25,0.15,0.72,,,0.01,,,,0.04,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,-3.439040703236709,950.8522243825732,47.34358763161481,1858.961011120449,1964.9219143781795,0.06447914831161539,1.1271613768601387e-07,0.12005503411920528,9,0.02,0.5,,,0.02,,,,0.23,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,-1.6524496737101368,927.7870061682207,50.46610107537489,854.2588729250974,2501.7654879799434,0.007225674874539623,5.7880981511621715e-09,0.036260880721798255,11,0.07,0.5,,,0.08,,,,0.17,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,-1.6578835802141527,926.564231368357,50.68942412466801,840.8664584286789,2512.25606803862,0.025168840140374904,1.6566537978240925e-08,0.06485000662651938,12,0.12,0.51,,,0.12,,,,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,-2.7700448023226,924.0355202525499,37.15821556468137,2997.606629273907,1400.636578613898,0.005436074093054577,9.201575083481184e-10,0.03145085635302586,11,0.17,0.5,,,0.18,,,,0.07,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,-1.6287827603973501,849.9264965937522,37.86348592390758,1956.9329109526377,1511.339399700817,0.6711726424882534,9.822416334459572e-08,0.18537069786168406,40,0.13,0.72,0.01,,0.02,,,,0.04,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
